Зеленогорск, Краснояр. край; Социальная защита (помощь людям в трудной ситуации); АНО СС "Линия жизни" ; Основная деятельность:  Предоставление социальных услуг на дому  ЦА: Пенсионеры, инвалиды, семьи с детьми инвалидами, люди оказавшись в трудной жизненной ситуации  План мероприятий на год: 1) Ежемесячно поздравление юбиляров на дому 2) Август - Сентябрь (Акция корзина добра сбор продуктов питания для малообеспечненых?) 3) Октябрь-День пожилого человека (поздравление презентами пожилых людей на дому) 4) Ноябрь - Международный день инвалида (посещение на дому молодых инвалидов с презентами) 5) День матери - поздравление многодетных матерей  6) Декабрь - Новогодний экспресс (поздравление получателей социальных услуг) Во всех мероприятиях нам помогают партнёры, садики, школы и техникум.; https://m.vk.com/liniya_zhizni_zel http://liniyazhiznizel.ru https://ok.ru/group/61396158775366
Зеленогорск, Краснояр. край; Культура и образование; АНО Центр досуга и развития детей; ; https://vk.com/anocdrdzelenogorsk?from=groups
Зеленогорск, Краснояр. край; Здоровье и спорт; Автономная некоммерческая организация "Клуб компьютерного спорта и фиджитал-спорта "Кибер-атом"; Основная деятельность:  ОКВЭД 93.12 - Деятельность спортивных клубов. А если по факту, то занимаюсь развитием компьютерного спорта и фиджитал-спорта в нашем городе, проведением мероприятий, турниров и просветительской работой в этой области  Ца: подростки 12-17 лет, а также их родители. С первыми ведем непосредственную работу по развитию их навыков в киберспорте и фиджитале, а со вторыми веду просветительскую работу и просто рассказываю, что киберспорт это не бесконтрольный гейминг и не игромания, а такое же спортивное направление, как футбол, шахматы и так далее, он также развивает определенные навыки, и дети там также получают определенные знания и необходимую для них в наше время социализацию.  План мероприятий до конца года  В планах до конца года открыть детский клуб, уже подготовительные работы ведутся, смета на оборудование подготовлена, но основная проблема в его дороговизне. Открыть клуб на 10 компьютеров, две приставки и 1 VR-шлем даже не на топовом оборудовании, но на более-менее актуальном, стоит по моим подсчетам порядка полутора миллионов. Это без затрат на ремонт и остальные расходы; группа ВК: https://vk.com/cyberatom_zlk24 канал Телеграм: https://t.me/cyberatom_zlk24
Нижний Новгород; Защита животных; БФ «Планета кошек»; Благотворительный Фонд "Планета Кошек" — это проект помощи бездомным животным в Нижнем Новгороде!  Благотворительный Фонд "Планета Кошек" входит в состав многофункционального Центра помощи и реабилитации животных. Деятельность Фонда направлена на спасение животных, оказавшихся в сложных жизненных ситуация, брошенных на улице, нуждающихся в ветеринарной помощи!; https://vk.com/planetakosheknn
Обнинск, Калуж. обл.; Другое; АНО ДПО "Техническая академия Росатома" ; На данный момент НКО нет. Находится на стадии формирования концепции и формализации идеи. ; https://vk.com/rosatomtech
Озёрск, Челяб. обл.; Другое; АНО «Твердыми шагами»; Автономная некоммерческая организация помощи детям с ограниченными возможностями здоровья, инвалидностью и их семьям.; https://vk.com/club207076122
Омск; Социальная защита (помощь людям в трудной ситуации); АНО СЦСА НАШИ ДЕТИ; Основная деятельность:  Помощь семьям воспитывающих детей с инвалидностью. Обучение неговорящих детей общаться при помощи альтернативной коммуникации. Открываем новое направление ранняя помощь детям до 3х  лет, имеющим трудности в развитии.   ЦА:  Семьи воспитывающие детей до 3х лет, имеющие трудности в развитии, проживающие в Омском регионе. Семьи воспитывающие неговорящих детей, нуждающихся в альтернативных способах общения, проживающие в городе Омске.   План мероприятий до конца года:  1) 31.07.25 Встреча с зам министра образования Груздевой - обсуждение дорожной карты развития альтернативной коммуникации в адаптивных школах Омской области. Мероприятия появятся после обсуждения дорожной карты. 2) 31.08.25 Завершение мероприятий проекта - встреч детей с инвалидностью по проекту "Вокруг света" поддержанного Министерством труда и социального развития Омской области. 3) 1.08.2025 Старт волонтерского проекта совместно с Омским филиалом ПАО "Ростелеком" «Чтение без границ». 4) 19.12.2025 Проведение двух новогодних мероприятий для детей с инвалидностью, поддержка Администрации города Омска. 5) Ждем результаты гранта Министерства внутренней политики Омской области. Проект "Музыка для всех", в рамках которого заложено сотрудничество с музыкальными школами региона для расширения компетенций педагогов в работе с особенными детьми. 5) В рамках субсидии Министерства труда и социального развития проводим занятия на безвозмездной основе для 30 ребят, учим общаться при помощи альтернативной коммуникации. (индивидуальные и групповые занятия". Занятия проводятся регулярно и постоянно. 6) С 15 сентября стартуют занятия в рамках ранней помощи для детей с трудностями в развитии до 3х лет. Ведем набор детей. ; https://vk.com/ndetiomsk
Северск, Том. обл.; Социальная защита (помощь людям в трудной ситуации); ТРОО "ВПЦ" МИРНЫЙ ВОИН"; ; https://ok.ru/profile/566417452251/statuses/156787104735451
Снежинск; Социальная защита (помощь людям в трудной ситуации); СГОО БУМЕРАНГ ДОБРА; ; https://vk.com/bdsnz
Снежинск; Социальная защита (помощь людям в трудной ситуации); ДоброЦентр при СО НКО Бумеранг добра ; ; https://vk.com/snzzhensovet
Снежинск; Местное сообщество и развитие территорий; Снежинская городская общественная организация "Союз женщин Снежинска"; Основная деятельность: Поддержка семей с детьми: многодетных, приемных семей, семей в городских общежитиях через Семейный клуб, развитие социального предпринимательства. Содействие повышению качества жизни старшего поколения через Клуб общения старшего поколения.  Поддержка общественного движения по сохранению и  развитию национальных культур в Снежинске.  Защита прав женщин.  ЦА: Женщины, семьи с детьми, пенсионеры  План мероприятий на год:  1) Открыть Семейный клуб и Центр долголетия; https://vk.com/sovetgensnz?from=groups
Усолье-Сибирское; Местное сообщество и развитие территорий; БФМС Новое Усолье; Основная деятельность:  Активизация/развитие местного сообщества для улучшения жизни в городе  ЦА: Неравнодушные жители, женщины 40+, семьи с детьми ; https://vk.com/club166583301
Усолье-Сибирское; Другое; УГМО ИОРОООО ВОИ; Основная деятельность: Организация работает по поддержке людей с инвалидностью и развитию адаптивной физической культуры и спорта в городе. Группа изучает более 25 человек различных нозологических групп.   ЦА:  Люди с инвалидностью всех возрастов ; -
